nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Gararu (SE);2022;11.096;5.382;48,5%;5.714;51,5%;-2,7%;parda;baixo
General Maynard (SE);2022;3.037;1.605;52,85%;1.432;47,15%;3,7%;parda;baixo
Gracho Cardoso (SE);2022;5.834;2.897;49,66%;2.937;50,34%;3,3%;parda;baixo
Ilha das Flores (SE);2022;8.321;4.238;50,93%;4.083;49,07%;-0,3%;parda;baixo
Indiaroba (SE);2022;16.549;8.329;50,33%;8.220;49,67%;4,5%;parda;baixo
Itabaiana (SE);2022;103.440;53.852;52,06%;49.588;47,94%;18,9%;parda;grande
Itabaianinha (SE);2022;40.678;20.731;50,96%;19.947;49,04%;4,5%;parda;baixo
Itabi (SE);2022;4.745;2.338;49,27%;2.407;50,73%;-4,6%;parda;baixo
Itaporanga d'Ajuda (SE);2022;34.411;17.600;51,15%;16.811;48,85%;13,1%;parda;baixo
Japaratuba (SE);2022;16.209;8.388;51,75%;7.821;48,25%;-3,9%;parda;baixo
Japoatã (SE);2022;13.407;6.647;49,58%;6.760;50,42%;3,6%;parda;baixo
Lagarto (SE);2022;101.579;52.438;51,62%;49.141;48,38%;7,1%;parda;grande
Laranjeiras (SE);2022;23.975;12.490;52,1%;11.485;47,9%;-10,9%;parda;baixo
Macambira (SE);2022;6.838;3.507;51,29%;3.331;48,71%;6,8%;parda;baixo
Malhada dos Bois (SE);2022;3.579;1.794;50,13%;1.785;49,87%;3,6%;parda;baixo
Malhador (SE);2022;11.533;5.890;51,07%;5.643;48,93%;-4,2%;parda;baixo
Maruim (SE);2022;15.719;8.167;51,96%;7.552;48,04%;-3,8%;parda;baixo
Moita Bonita (SE);2022;11.050;5.645;51,09%;5.405;48,91%;0,4%;parda;baixo
Monte Alegre de Sergipe (SE);2022;14.336;7.122;49,68%;7.214;50,32%;5,2%;parda;baixo
Muribeca (SE);2022;7.822;4.060;51,9%;3.762;48,1%;6,5%;parda;baixo
Neópolis (SE);2022;16.426;8.366;50,93%;8.060;49,07%;-11,2%;parda;baixo
Nossa Senhora Aparecida (SE);2022;9.232;4.626;50,11%;4.606;49,89%;8,5%;parda;baixo
Nossa Senhora da Glória (SE);2022;41.212;21.120;51,25%;20.092;48,75%;26,8%;parda;baixo
Nossa Senhora das Dores (SE);2022;24.996;12.844;51,38%;12.152;48,62%;1,7%;parda;baixo
Nossa Senhora de Lourdes (SE);2022;6.268;3.131;49,95%;3.137;50,05%;0,5%;parda;baixo
Nossa Senhora do Socorro (SE);2022;192.330;101.166;52,6%;91.164;47,4%;19,6%;parda;grande
Pacatuba (SE);2022;12.502;6.308;50,46%;6.194;49,54%;-4,8%;parda;baixo
Pedra Mole (SE);2022;2.778;1.404;50,54%;1.374;49,46%;-6,6%;parda;baixo
Pedrinhas (SE);2022;7.396;3.825;51,72%;3.571;48,28%;-16,3%;parda;baixo
Pinhão (SE);2022;5.677;2.926;51,54%;2.751;48,46%;-5%;parda;baixo
Pirambu (SE);2022;7.913;4.003;50,59%;3.910;49,41%;-5,4%;parda;baixo
Poço Redondo (SE);2022;33.439;16.528;49,43%;16.911;50,57%;8,3%;parda;baixo
Poço Verde (SE);2022;21.794;11.218;51,47%;10.576;48,53%;-0,9%;parda;baixo
Porto da Folha (SE);2022;26.576;13.163;49,53%;13.413;50,47%;-2,1%;parda;baixo
Propriá (SE);2022;26.618;13.866;52,09%;12.752;47,91%;-6,4%;parda;baixo
Riachão do Dantas (SE);2022;18.313;9.178;50,12%;9.135;49,88%;-5,5%;parda;baixo
Riachuelo (SE);2022;8.748;4.545;51,95%;4.203;48,05%;-6,5%;parda;baixo
Ribeirópolis (SE);2022;17.033;8.786;51,58%;8.247;48,42%;-0,8%;parda;baixo
Rosário do Catete (SE);2022;9.295;4.947;53,22%;4.348;46,78%;0,8%;parda;baixo
Salgado (SE);2022;20.279;10.194;50,27%;10.085;49,73%;4,7%;parda;baixo
Santa Luzia do Itanhy (SE);2022;13.616;6.863;50,4%;6.753;49,6%;5%;parda;baixo
Santana do São Francisco (SE);2022;7.346;3.708;50,48%;3.638;49,52%;4,4%;parda;baixo
Santa Rosa de Lima (SE);2022;3.937;1.953;49,61%;1.984;50,39%;5%;parda;baixo
Santo Amaro das Brotas (SE);2022;11.092;5.686;51,26%;5.406;48,74%;-2,8%;parda;baixo
São Cristóvão (SE);2022;95.612;48.884;51,13%;46.728;48,87%;21,2%;parda;médio
São Domingos (SE);2022;10.327;5.304;51,36%;5.023;48,64%;0,5%;parda;baixo
São Francisco (SE);2022;3.243;1.657;51,09%;1.586;48,91%;-4,4%;parda;baixo
São Miguel do Aleixo (SE);2022;3.434;1.758;51,19%;1.676;48,81%;-7,1%;parda;baixo
Simão Dias (SE);2022;42.578;21.979;51,62%;20.599;48,38%;10%;parda;baixo
Siriri (SE);2022;7.834;3.989;50,92%;3.845;49,08%;-2,1%;parda;baixo
Telha (SE);2022;3.274;1.674;51,13%;1.600;48,87%;10,7%;parda;baixo
Tobias Barreto (SE);2022;50.905;26.063;51,2%;24.842;48,8%;6%;parda;médio
Tomar do Geru (SE);2022;12.012;6.011;50,04%;6.001;49,96%;-6,6%;parda;baixo
Umbaúba (SE);2022;23.917;12.470;52,14%;11.447;47,86%;6,6%;parda;baixo
