city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Acari (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Açu (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Afonso Bezerra (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Nova (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alexandria (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Almino Afonso (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto do Rodrigues (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Angicos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Antônio Martins (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Apodi (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Areia Branca (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arês (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Augusto Severo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baía Formosa (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baraúna (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barcelona (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bento Fernandes (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bodó (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jesus (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejinho (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caiçara do Norte (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caiçara do Rio do Vento (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caicó (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Redondo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canguaretama (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caraúbas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carnaúba dos Dantas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carnaubais (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ceará-Mirim (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cerro Corá (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coronel Ezequiel (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coronel João Pessoa (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cruzeta (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Currais Novos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Doutor Severiano (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parnamirim (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Encanto (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Equador (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Espírito Santo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Extremoz (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Felipe Guerra (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fernando Pedroza (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Florânia (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Dantas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Frutuoso Gomes (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Galinhos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Goianinha (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Dix-Sept Rosado (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Grossos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guamaré (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ielmo Marinho (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipanguaçu (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipueira (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itajá (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaú (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaçanã (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jandaíra (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Janduís (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Januário Cicco (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Japi (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jardim de Angicos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jardim de Piranhas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jardim do Seridó (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Câmara (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Dias (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
José da Penha (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jucurutu (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jundiá (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa d'Anta (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa de Pedras (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa de Velhos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Nova (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Salgada (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajes (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajes Pintadas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lucrécia (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Luís Gomes (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macaíba (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macau (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Major Sales (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marcelino Vieira (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Martins (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maxaranguape (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Messias Targino (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montanhas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Alegre (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte das Gameleiras (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mossoró (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Natal (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nísia Floresta (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Cruz (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho d'Água do Borges (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ouro Branco (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paraná (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paraú (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parazinho (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parelhas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio do Fogo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passa e Fica (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passagem (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Patu (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Maria (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pau dos Ferros (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Grande (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Preta (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro Avelino (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro Velho (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pendências (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pilões (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poço Branco (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Portalegre (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto do Mangue (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Caiada (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pureza (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rafael Fernandes (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rafael Godeiro (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho da Cruz (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho de Santana (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachuelo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rodolfo Fernandes (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tibau (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ruy Barbosa (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Matos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Seridó (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bento do Norte (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bento do Trairí (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Fernando (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco do Oeste (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gonçalo do Amarante (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Sabugi (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José de Mipibu (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Campestre (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Seridó (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel do Gostoso (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Paulo do Potengi (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Pedro (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Rafael (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Tomé (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Vicente (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Elói de Souza (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Georgino Avelino (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra de São Bento (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra do Mel (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Negra do Norte (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serrinha (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serrinha dos Pintos (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Severiano Melo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sítio Novo (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taboleiro Grande (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taipu (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tangará (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tenente Ananias (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tenente Laurentino Cruz (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tibau do Sul (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Timbaúba dos Batistas (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Touros (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Triunfo Potiguar (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umarizal (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Upanema (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Venha-Ver (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vera Cruz (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Viçosa (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vila Flor (RN);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amparo do São Francisco (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aquidabã (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aracaju (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arauá (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Areia Branca (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra dos Coqueiros (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boquim (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo Grande (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo do Brito (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canhoba (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canindé de São Francisco (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capela (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carira (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carmópolis (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cedro de São João (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cristinápolis (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cumbe (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Divina Pastora (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Estância (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feira Nova (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Frei Paulo (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gararu (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
General Maynard (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gracho Cardoso (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ilha das Flores (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Indiaroba (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itabaiana (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itabaianinha (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itabi (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaporanga d'Ajuda (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Japaratuba (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Japoatã (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagarto (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Laranjeiras (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macambira (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Malhada dos Bois (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Malhador (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maruim (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Moita Bonita (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Alegre de Sergipe (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Muribeca (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Neópolis (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora Aparecida (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora da Glória (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora das Dores (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora de Lourdes (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nossa Senhora do Socorro (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pacatuba (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Mole (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedrinhas (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pinhão (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pirambu (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poço Redondo (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poço Verde (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto da Folha (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Propriá (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão do Dantas (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachuelo (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeirópolis (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rosário do Catete (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salgado (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luzia do Itanhy (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do São Francisco (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Rosa de Lima (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Amaro das Brotas (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Cristóvão (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel do Aleixo (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Simão Dias (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Siriri (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Telha (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tobias Barreto (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tomar do Geru (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umbaúba (SE);32,63%;13,03%;33,49%;20,85%;92%;26.939
